Artistas por hacer:,Período,periodo /  Academia,Nacimiento,Fallecimiento,Contenido
Pedro Pablo Rubens,Barroco ,Flamenco,1577,1640,
Pierre Narcisse Guérin,Neoclasicismo,-,1774,1833,
Pierre-Henri de Valenciennes,,Escuela de Bellas Artes de Toulouse ,,,
Prosper Marilhat,Romanticismo,Orientalismo,1811,1847,
Rembrandt,Barroco ,Neerlandés,1606,1699,
Renoir,Impresionismo,Impresionismo,1841,1919,
Richard Parkes Bonington,Romanticismo,Inglés,1802,1828,
Robert Perrin,,,,,
Roger Van der Weyden,Renacimiento,Norte Europa,1399,1464,
Rouart,,,,,
Sebastien Pether,Romanticismo,Paisajismo británico,1790,1844,
Simon Alexandre Clement,,,1755,1813,
Sir Alfred Munnings,Impresionismo,Escuela de Newlyn,1878,1959,
Stephen Robert,,,1887,1934,FAMILIA KOEKKOEK
Théodore Faber,,,1782,1844,
Theodore Ribot,,,,,
Thomas Girtin,Romanticismo,-,1775,1802,
Tschaggeny ,,,,,
Tudor St George Tucker,Impresionismo,Escuela de Arte de Melbourne,1862,1902,
Van der Maaten,,,,,
Verheyden,,,,,
Victor Meirelles,,,,,
Visconti,,,,,
Willem Koekkoek,,,1839,1895,FAMILIA KOEKKOEK
William Bouguereau,Academicismo,,1825,1905,
William Lee Hankey,Impresionismo,Escuela de Newlyn,1869,1952,
Rosa Bonheur,,,,,
Anna Kumpkler,,,,,
Verrochio,Renacimiento,Escuela florentina,,,
Eugene Von Guerard,,,,,
William Trots Richard,Impresionismo,,,,
Jean-Marie Diébolt ,Realismo,,,,
Narciso Díaz de la peña,Realismo,Escuela de Barbizon,1807,1876,
Frederick Arthur Brigdman,Realismo,,1847,1928,
John Frederick Lewis,Realismo,Orientalismo,1848,1913,
